formal,MP,MR,Giver,Receiver,GiverProficiency,ReceiverProficiency,Iformal,IMP,IMR,Experience1,Experience2,Experience3,Experience 4,
1,2,2,1,6,H,L,1,2,2,3,4,4,3,
1,1,2,2,7,H,L,1,0,0,3,4,4,5,
5,0,0,3,8,H,L,5,0,0,3,3,5,3,
3,2,2,4,9,H,L,3,2,2,3,3,3,5,
5,3,2,5,10,H,L,5,3,2,5,6,5,4,
1,2,2,6,1,L,H,1,1,2,3,4,4,4,
4,1,0,7,2,L,H,3,1,0,4,3,3,3,
1,0,1,8,3,L,H,1,0,1,4,5,4,6,
1,2,2,9,4,L,H,1,1,2,3,3,3,4,
1,2,2,10,5,L,H,1,2,1,3,2,3,5,
4,3, ,11,12,H,H,4,1,,4,5,5,4, 
2,3, ,12,11,H,H,2,2,,2,6,6,6, 
0,3, ,13,14,H,H,0,1,,4,5,4,1, 
5,5, ,14,13,H,H,5,3,,1,6,1,1, 
4,2, ,15,16,H,H,4,2,,2,3,3,3, 
8,1,,16,15,H,H,8,1,,2,3,4,4,
3,2,,17,18,H,H,3,2,,3,4,4,5,
4,3,,18,17,H,H,4,2,,6,6,6,3,
2,3,,19,20,H,H,2,3,,4,4,4,5,
5,1,,20,19,H,H,5,1,,4,5,5,4,
